id,name,shop_url,agb_url
1,real GmbH,real.de,https://www.real.de/rechtliches/agb/
2,computeruniverse GmbH,computeruniverse.net,https://www.computeruniverse.net/de/page/allgemeine-geschaeftsbedingungen
3,Cyberport GmbH,cyberport.at,https://www.cyberport.at/service/rechtliches/agb-privat-geschaeftskunden.html
4,Wagner eCommerce Group GmbH,elektroshopwagner.de,https://www.elektroshopwagner.de/shop_content.php/coID/3/content/Unsere-AGB
5,B�romarkt B�ttcher AG,bueromarkt-ag.de,https://www.bueromarkt-ag.de/agb/agb.php
6,Saturn Online GmbH,saturn.de,https://www.saturn.de/?layer=terms&rbtc=ide%7Cpf%7Cagb%7C%7Cp%7C%7C
7,Media Markt E-Business GmbH,mediamarkt.de,https://www.mediamarkt.de/?layer=terms
8,notebooksbilliger.de AG,notebooksbilliger.de,https://www.notebooksbilliger.de/infocenter/section/conditions
9,RSU GmbH,reifensuche.com,https://www.reifensuche.com/AGB
10,Re-In Retail International GmbH,voelkner.de,https://www.voelkner.de/AGB.html
11,OTTO (GmbH & Co. KG),otto.de,https://www.otto.de/shoppages/service/agb
12,ALTERNATE GmbH,alternate.de,https://www.alternate.de/HILFE/ALTERNATE/AGB
13,Jacob Elektronik GmbH,jacob.de,https://www.jacob.de/agb.html
14,Euro-Apotheke K. Talu e.K.,eurapon.de,https://www.eurapon.de/agb
15,myToolStore GmbH,mytoolstore.de,https://www.mytoolstore.de/agb
16,Foto Erhardt GmbH,foto-erhardt.de,https://www.foto-erhardt.de/AGB.html
17,Pixxass e.K.,pixxass.de,https://www.pixxass.de/AGB-und-Kundeninformationen
18,Drucker.de IT-Handelsgesellschaft mbH,drucker-guenstiger.de,https://www.drucker-guenstiger.de/agb
19,OnlineDeal24 GmbH,onlinedeal24.de,https://www.onlinedeal24.de/agb-kundeninfo
20,Elektro Reiners Systemtechnik GmbH,elektroradar.de,https://www.elektroradar.de/epages/ElektroRadar.sf/agb.html
21,elektro-plus GmbH,elektro-plus.de,https://www.elektro-plus.de/agb
22,Wagner eCommerce Group GmbH,campingwagner.de,https://www.campingwagner.de/shop_content.php/coID/25/content/Unsere-AGB
23,b�roshop24 GmbH,bueroshop24.de,https://www.bueroshop24.de/hilfe/agb/
24,Re-In Retail International GmbH,digitalo.de,https://www.digitalo.de/AGB.html
25,AO Deutschland Ltd.,ao.de,https://www.ao.de/hilfe-service/allgemeine-geschaeftsbedingungen
26,FC-Moto GmbH & Co. KG,fc-moto.de,https://www.fc-moto.de/epages/fcm.sf/de_DE/?ObjectPath=/Shops/10207048/Categories/TermsAndConditions
27,Conrad Electronic SE,conrad.de,https://www.conrad.de/de/ueber-conrad/rechtliches/agb.html
28,Flaconi GmbH,flaconi.de,https://www.flaconi.de/agb/
29,Rubart GmbH,rubart.de,https://www.rubart.de/Unsere-AGB-s-coID3
30,Lidl Digital International GmbH & Co. KG,lidl.de,https://www.lidl.de/de/allgemeine-geschaeftsbedingungen-onlineshop/s6
31,insani GmbH,insani24.de,https://insani24.de/
32,TAROX Marketplace GmbH,future-x.de,https://www.future-x.de/conditions.php
33,MEDION AG,medion.com,http://www.medion.com/de/MedionCmsLightbox.html?contentCode=footer_agb
34,Bauer-Elektro-Service & Technik GmbH,mybauer.de,https://www.mybauer.de/inhalte/14183941_AGB.html;jsessionid=aaaNVaX6xGLW_hR0Sll5w
35,Duttenhofer GmbH & Co. KG,technikdirekt.de,https://www.technikdirekt.de/agb
36,digital-versand.de Online GmbH,xenudo.de,https://www.xenudo.de/agb/page.html
37,cw-mobile GmbH,cw-mobile.de,https://www.cw-mobile.de/information/agb.html
38,Kruse Reinigungstechnik und Hygienebedarf GmbH & Co. KG,reinigungsberater.de,https://www.reinigungsberater.de/agb/agb.php
39,marsmedia GmbH,mars-media-elektronik.de,https://www.mars-media-elektronik.de/agb
40,easyCOSMETIC Beauty Perfectionists Ltd.,easycosmetic.de,https://www.easycosmetic.de/agbs
41,HOM Home of Malts GmbH,homeofmalts.com,https://www.homeofmalts.com/agb
42,Haus und Garten Internethandels GmbH,baumarkteu.de,https://www.baumarkteu.de/index.php?route=product/search&filter_name=allgemeine-geschaeftsbedingungen&filter_sub_category=true
43,RedZilla GmbH,redzilla.de,https://www.redzilla.de/AGB
44,Agire GmbH & Co. KG,banemo.de,https://www.banemo.de/agb
45,Proshop ApS,proshop.de,https://www.proshop.de/Allgemeine-Geschaeftsbedingungen.htm
46,Dirk & Thomas Wermuth GbR,wermuth.de,https://www.wermuth.de/50666_agb.html
47,Outlet46.de GmbH,outlet46.de,https://www.outlet46.de/content/agb/
48,Versandapotheke DocMorris N.V.,docmorris.de,https://www.docmorris.de/service/bestellung/agb
49,Apotheke im Paunsdorf Center Kirsten Fritsch e. K.,apolux.de,https://www.apolux.de/agb
50,internetstores GmbH,bruegelmann.de,https://www.bruegelmann.de/agb.html
51,internetstores GmbH,fahrrad.de,https://www.fahrrad.de/on/demandware.store/Sites-fahrrad-de-Site/de_DE/Page-Show?cid=agb
52,SportObchod.cz s.r.o.,sportega.de,https://www.sportega.de/s/allgemeine-geschaeftsbedingungen-209
53,HQ-Patronen GmbH,hq-patronen.de,https://www.hq-patronen.de/AGB/
54,reifencom GmbH,reifen.com,https://www.reifen.com/de/faq/agb
55,Delticom AG,reifendirekt.de,https://www.reifendirekt.de/AGBs.html
56,Fernseh Berlet GmbH & Co. KG,berlet.de,https://www.berlet.de/uber-berlet/agb-online/
57,TintenCenter.com GmbH,tintencenter.com,https://www.tintencenter.com/agb/
58,Cocopanda.de GmbH,cocopanda.de,https://www.cocopanda.de/agb
59,MSK B�rotechnik u. Handels GmbH,tonerpreis.de,https://www.tonerpreis.de/agb
60,moebelplus GmbH,moebelplus.de,https://www.moebelplus.de/allgemeine_geschaeftsbedingungen
61,batterium GmbH,autobatterienbilliger.de,https://www.autobatterienbilliger.de/AGB
62,etronixx Sales GmbH,ejoker.de,https://www.ejoker.de/agb
63,Zahrt Handels-GmbH,werkzeugstore24.de,https://werkzeugstore24.de/agb/
64,Foto K�ster OHG,foto-koester.de,https://www.foto-koester.de/agb
65,Westfalia Werkzeugcompany GmbH & Co.KG,westfalia.de,https://www.westfalia.de/static/unternehmen/agb.html
66,Office Partner GmbH,office-partner.de,https://www.office-partner.de/index.php?cl=info&tpl=agb.tpl
67,Wolfgang Immler,autoteile-immler.com,https://www.autoteile-immler.com/agb
68,AFA-Fotohandel e.K.,afa-fotoversand.de,https://afa-fotoversand.de/agb
69,Stifts-Apotheke e.K.,medpex.de,https://www.medpex.de/support/help/article/view/38/8/agb-allgemeine-geschaeftsbedingungen
70,MVI Media Vertrieb International GmbH,energeto.de,https://www.energeto.de/informationen/agb-online/
71,eXXpozed - sports & fashion Andreas Oliver Bindhammer e. K.,exxpozed.de,https://www.exxpozed.de/support/agb
72,BaSBa Batterien GmbH,basba.de,https://basba.de/agb/
73,G�ran V�lker,parfumerie-discounter.de,https://www.parfumerie-discounter.de/AGB
74,expert TechnoMarkt Online GmbH & Co. KG,expert-technomarkt.de,https://www.expert-technomarkt.de/cms/agb.html
75,SVH Handels-GmbH,svh24.de,https://www.svh24.de/agb
76,Smartino GmbH & Co. KG,funktionelles.de,https://funktionelles.de/e-vendo_templ.php3?shop=life&ACTION=AGB
77,BRASTY GROUP s.r.o.,brasty.de,https://www.brasty.de/agb
78,parf�merie akzente GmbH,parfumdreams.de,https://www.parfumdreams.de/AGB-und-Kundeninformationen
79,Florian M�ller,parfumgroup.de,https://parfumgroup.de/terms-of-use
80,Kochform GmbH,kochform.de,https://www.kochform.de/AGB.html
81,Volt Venture GmbH,clevertronic.de,https://www.clevertronic.de/agb
82,home24 SE,home24.de,https://www.home24.de/service/agb/
83,Entertainment Trading ApS,coolshop.de,https://www.coolshop.de/minisite/t/terms
84,Rudolf Wiegand und Partner GmbH,tonermacher.de,https://www.tonermacher.de/agb
85,URANO eBusiness GmbH,b2c.urano-shop.de,https://b2c.urano-shop.de/Dealer/TermsAndConditions/
86,HIFI & FOTO KOCH GmbH,fotokoch.de,https://www.fotokoch.de/content/agb.shtml
87,LeuchtenZentrale GmbH,leuchte.de,https://www.leuchte.de/agb
88,0815 Online Handel GmbH,0815.eu,https://www.0815.eu/agb
89,SGRO Handels GmbH & Co. KG,softwarepalast.de,https://www.softwarepalast.de/AGB-und-Kundeninformationen:_:3.html
90,MP Vertriebs GmbH,idealo.de,https://www.idealo.de/preisvergleich/Shop/319659.html
91,Tirendo Deutschland GmbH,tirendo.de,https://www.tirendo.de/agb
92,Fox Trading GmbH,parfuemfuerdich.de,https://www.parfuemfuerdich.de/agb.html
93,Eye & Lenses Ltd. & Co. KG,1a-sehen.de,https://www.1a-sehen.de/Unsere-AGB:_:3.html
94,APO Pharmacy B.V.,apotheke-online.de,https://www.apotheke-online.de/agb
95,ukw24 GmbH,tecedo.de,https://www.tecedo.de/agb
96,Alexander Vogel,gamingoase.de,https://www.gamingoase.de/de/unsere-agb
97,ukw24 GmbH,screenmaxx.com,https://www.screenmaxx.com/agb
