id,name,shop_url,agb_url
1,motoin GmbH,motoin.de,https://www.motoin.de/AGB:_:3.html
2,ISARNEMA GmbH,alltyres365.co.uk,https://alltyres365.co.uk/?cid=20#Terms%20&%20Conditions
3,Cheltenham Mowers Ltd,lawnmowers-uk.co.uk,https://www.lawnmowers-uk.co.uk/terms?information_id=5
4,Foto Konijnenberg B.V.,static.fotokonijnenberg.nl,http://static.fotokonijnenberg.nl/files/Terms-of-Supply_Foto-Konijnenberg.pdf
5,Delticom Tyres Ltd.,mytyres.co.uk,https://www.mytyres.co.uk/AGBs.html
6,Notino International Limited,notino.co.uk,https://www.notino.co.uk/terms-and-conditions/
7,Delticom Tyres Limited,tyres-guru.co.uk,https://www.tyres-guru.co.uk/AGBs.html
8,Simply-Electricals,simplyelectricals.co.uk,https://www.simplyelectricals.co.uk/terms
9,DSG Retail Limited,currys.co.uk,https://www.currys.co.uk/gbuk/terms-and-conditions-1044-theme.html
10,Direct Healthcare Limited,chemistdirect.co.uk,https://www.chemistdirect.co.uk/terms-and-conditions
11,Amazon EU Srl,amazon.co.uk,https://www.amazon.co.uk/gp/help/customer/display.html?ie=UTF8&nodeId=1040616
12,Delticom Tyres Limited,123tyres.co.uk,http://www.123tyres.co.uk/AGBs.html
13,ALENSA,alensa.co.uk,https://www.alensa.co.uk/information/terms-and-conditions.html
14,Uksoccershop Ltd,uksoccershop.com,https://www.uksoccershop.com
15,Visunext UK Ltd.,visunext.co.uk,https://www.visunext.co.uk/en/company/terms-and-conditions/
16,Senetic LTD,senetic.co.uk,https://www.senetic.co.uk/site/terms_and_conditions/
17,CHAL-TEC GmbH,auna-multimedia.co.uk,https://www.auna-multimedia.co.uk/Terms-and-Conditions/
18,BT Group plc,shop.bt.com,https://shop.bt.com/help/policies/terms-of-use
19,The Hut.com Ltd.,zavvi.com,https://www.zavvi.com/articles/terms-conditions.list
20,Electrical discount UK.co.uk Limited,electricaldiscountuk.co.uk,https://www.electricaldiscountuk.co.uk/customerserv.php/
21,Shop Direct Home Shopping Limited,idealo.co.uk,https://www.idealo.co.uk/shop/320025/staples-co-uk.html
